Player,Pos,Identifier
Bogdanovic,SF,ATL-Bogdanovic
Capela,C,ATL-Capela
Collins,PF,ATL-Collins
Dunn,SG,ATL-Dunn
Fernando,C,ATL-Fernando
Gallinari,PF,ATL-Gallinari
Goodwin,PG,ATL-Goodwin
Hill,SF,ATL-Hill
Huerter,SG,ATL-Huerter
Hunter,SF,ATL-Hunter
Knight,C,ATL-Knight
Mays,SG,ATL-Mays
Okongwu,C,ATL-Okongwu
Reddish,SF,ATL-Reddish
Snell,SF,ATL-Snell
Williams,PG,ATL-Williams
Young,PG,ATL-Young
Brown,SG,BKN-Brown
Chiozza,PG,BKN-Chiozza
Claxton,C,BKN-Claxton
Dinwiddie,SG,BKN-Dinwiddie
Durant,PF,BKN-Durant
Green,PF,BKN-Green
Harden,SG,BKN-Harden
Harris,SF,BKN-Harris
Irving,PG,BKN-Irving
James,PG,BKN-James
Johnson,PF,BKN-Johnson
Johnson,SG,BKN-Johnson
Jordan,C,BKN-Jordan
Luwawu-Cabarrot,SF,BKN-Luwawu-Cabarrot
Perry,PF,BKN-Perry
Roberson,PF,BKN-Roberson
Shamet,SG,BKN-Shamet
Shumpert,SF,BKN-Shumpert
Vonleh,PF,BKN-Vonleh
Brown,SF,BOS-Brown
Edwards,SG,BOS-Edwards
Fall,C,BOS-Fall
Fournier,SF,BOS-Fournier
Langford,SG,BOS-Langford
Nesmith,SF,BOS-Nesmith
Ojeleye,PF,BOS-Ojeleye
Pritchard,SG,BOS-Pritchard
Smart,SG,BOS-Smart
Tatum,SF,BOS-Tatum
Thompson,C,BOS-Thompson
Walker,PG,BOS-Walker
Waters,PG,BOS-Waters
Williams,C,BOS-Williams
Williams,PF,BOS-Williams
Aminu,PF,CHI-Aminu
Arcidiacono,PG,CHI-Arcidiacono
Brown Jr.,SF,CHI-Brown Jr.
Dotson,PG,CHI-Dotson
Felício,C,CHI-Felício
LaVine,SG,CHI-LaVine
Markkanen,C,CHI-Markkanen
Mokoka,SG,CHI-Mokoka
Satoransky,SG,CHI-Satoransky
Temple,SG,CHI-Temple
Valentine,SF,CHI-Valentine
Vucevic,C,CHI-Vucevic
White,PG,CHI-White
Williams,SF,CHI-Williams
Young,PF,CHI-Young
Ball,PG,CHA-Ball
Biyombo,C,CHA-Biyombo
Bridges,PF,CHA-Bridges
Carey Jr.,C,CHA-Carey Jr.
Darling,SG,CHA-Darling
Graham,PG,CHA-Graham
Hayward,SF,CHA-Hayward
Martin,SF,CHA-Martin
Martin,SF,CHA-Martin
McDaniels,SF,CHA-McDaniels
Monk,SG,CHA-Monk
Richards,C,CHA-Richards
Riller,PG,CHA-Riller
Rozier,SG,CHA-Rozier
Wanamaker,PG,CHA-Wanamaker
Washington,PF,CHA-Washington
Zeller,C,CHA-Zeller
Bolden,PF,CLE-Bolden
Dellavedova,PG,CLE-Dellavedova
Dotson,SG,CLE-Dotson
Exum,SF,CLE-Exum
Garland,PG,CLE-Garland
Love,PF,CLE-Love
Maker,C,CLE-Maker
Martin,PG,CLE-Martin
Nance Jr.,PF,CLE-Nance Jr.
Okoro,SF,CLE-Okoro
Osman,SF,CLE-Osman
Prince,PF,CLE-Prince
Sexton,SG,CLE-Sexton
Stevens,PF,CLE-Stevens
Varejao,C,CLE-Varejao
Wade,PF,CLE-Wade
Windler,SG,CLE-Windler
Bey,PF,DAL-Bey
Brunson,PG,DAL-Brunson
Burke,PG,DAL-Burke
Cauley-Stein,C,DAL-Cauley-Stein
Doncic,PG,DAL-Doncic
Finney-Smith,PF,DAL-Finney-Smith
Green,SF,DAL-Green
Hardaway Jr.,SF,DAL-Hardaway Jr.
Hinton,SF,DAL-Hinton
Kleber,PF,DAL-Kleber
Marjanovic,C,DAL-Marjanovic
Porzingis,C,DAL-Porzingis
Powell,C,DAL-Powell
Redick,SG,DAL-Redick
Richardson,SG,DAL-Richardson
Terry,PG,DAL-Terry
Barton,SF,DEN-Barton
Bol,PF,DEN-Bol
Campazzo,PG,DEN-Campazzo
cancar,SF,DEN-cancar
Dozier,SG,DEN-Dozier
Gordon,PF,DEN-Gordon
Green,PF,DEN-Green
Howard,SG,DEN-Howard
Jokic,C,DEN-Jokic
McGee,C,DEN-McGee
Millsap,PF,DEN-Millsap
Morris,PG,DEN-Morris
Murray,PG,DEN-Murray
Nnaji,PF,DEN-Nnaji
Porter Jr.,SF,DEN-Porter Jr.
Rivers,SG,DEN-Rivers
Whittington,SG,DEN-Whittington
Bey,SF,DET-Bey
Diallo,SF,DET-Diallo
