Date,Team,Opp,Player,Stat,Oodds,Uodds,Line,l10,l10diff,Identifier,Pos,imp.Ov.Prob,imp.Un.Prob,Ov.pred,Ov.P.Diff,BetRec,BetMade,NumL5Ohit,PctL5Ohit,BetHit,Points,Assists,Rebounds,3s,isB2B,isB2BFirst,isB2BSecond,countDaysRestTeam,Difference,Result,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
5/8/21,POR,SAS,McCollum,Points,1.90,1.86,22.5,21.6,0.9,POR-McCollum,SG,,,,,NA,NA,,,,27,2,5,4,TRUE,FALSE,TRUE,0,-4.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,POR,SAS,Lillard,Points,1.86,1.90,28.5,28.7,-0.2,POR-Lillard,PG,,,,,NA,NA,,,,30,8,4,4,TRUE,FALSE,TRUE,0,-1.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,SAS,POR,DeRozan,Points,1.86,1.90,22.5,24,-1.5,SAS-DeRozan,PF,,,,,NA,NA,,,,20,4,2,0,TRUE,FALSE,TRUE,0,2.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,SAS,POR,Murray,Points,1.93,1.83,17.5,17.6,-0.1,SAS-Murray,PG,,,,,NA,NA,,,,15,5,4,0,TRUE,FALSE,TRUE,0,2.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Brooks,Points,1.83,1.93,18,17.7,0.3,MEM-Brooks,SF,,,,,NA,NA,,,,15,3,2,3,TRUE,FALSE,TRUE,0,3,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Green,Points,2.03,1.75,8.5,7.5,1,GSW-Green,PF,,,,,NA,NA,,,,15,2,5,3,FALSE,FALSE,FALSE,1,-6.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,DEN,BKN,Campazzo,Points,1.90,1.86,9.5,10.8,-1.3,DEN-Campazzo,PG,,,,,NA,NA,,,,19,5,2,3,TRUE,FALSE,TRUE,0,-9.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Morant,Points,1.92,1.84,20.5,20.5,0,MEM-Morant,PG,,,,,NA,NA,,,,12,6,7,0,FALSE,FALSE,FALSE,1,8.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Harris,Points,1.97,1.80,12.5,12,0.5,BKN-Harris,SF,,,,,NA,NA,,,,8,5,5,2,FALSE,FALSE,FALSE,1,4.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Valanciunas,Points,1.84,1.92,15.5,15,0.5,MEM-Valanciunas,C,,,,,NA,NA,,,,18,1,21,0,FALSE,FALSE,FALSE,1,-2.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,SAS,POR,Johnson,Points,1.97,1.80,12.5,12.6,-0.1,SAS-Johnson,SF,,,,,NA,NA,,,,6,1,2,0,TRUE,FALSE,TRUE,0,6.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Bazemore,Points,1.85,1.91,11.5,9.6,1.9,GSW-Bazemore,SF,,,,,NA,NA,,,,5,1,5,1,FALSE,FALSE,FALSE,1,6.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Durant,Points,1.88,1.88,29.5,31.3,-1.8,BKN-Durant,PF,,,,,NA,NA,,,,33,7,11,3,FALSE,FALSE,FALSE,1,-3.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Looney,Points,2.07,1.72,7.5,5,2.5,GSW-Looney,C,,,,,NA,NA,,,,3,1,12,0,FALSE,FALSE,FALSE,1,4.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Anderson,Points,1.88,1.88,11.5,13.2,-1.7,MEM-Anderson,PF,,,,,NA,NA,,,,16,5,5,2,FALSE,FALSE,FALSE,1,-4.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Irving,Points,1.88,1.88,27.5,27.6,-0.1,BKN-Irving,PG,,,,,NA,NA,,,,31,4,0,4,FALSE,FALSE,FALSE,1,-3.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,DEN,BKN,Jokic,Points,1.82,1.94,26.5,26.5,0,DEN-Jokic,C,,,,,NA,NA,,,,29,6,7,0,TRUE,FALSE,TRUE,0,-2.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,POR,SAS,Powell,Points,1.90,1.86,17.5,16.4,1.1,POR-Powell,SF,,,,,NA,NA,,,,18,1,6,2,TRUE,FALSE,TRUE,0,-0.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,WAS,IND,Neto,Points,1.87,1.89,9.5,10.8,-1.3,WAS-Neto,PG,,,,,NA,NA,,,,2,3,3,0,FALSE,FALSE,FALSE,1,7.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,WAS,IND,Hachimura,Points,1.74,2.05,13.5,15.7,-2.2,WAS-Hachimura,PF,,,,,NA,NA,,,,13,1,6,0,FALSE,FALSE,FALSE,1,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,WAS,IND,Westbrook,Points,1.92,1.84,24.5,23.7,0.8,WAS-Westbrook,PG,,,,,NA,NA,,,,33,15,19,3,FALSE,FALSE,FALSE,1,-8.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Curry,Points,1.89,1.87,35.5,34.2,1.3,GSW-Curry,PG,,,,,NA,NA,,,,49,2,5,11,FALSE,FALSE,FALSE,1,-13.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
